Precincts,DEM Joseph R. Biden /Kamala D. Harris (DEM),REP Donald J. Trump /Michael R. Pence (REP),CON Don Blankenship /William Mohr (CON),LIB Jo Jorgensen /Jeremy Spike Cohen (LIB),ASP Brian Carroll /Amar Patel (ASP),write-in: (Non)  
C Edgerton Wd 7,28,38,1,0,0,1
C Fitchburg Wd 14,1177,306,0,18,2,4
C Fitchburg Wd 20,0,0,0,0,0,0
C Fitchburg Wds 10-13,2214,371,4,19,9,10
C Fitchburg Wds 1-4,2199,427,3,45,17,12
"C Fitchburg Wds 15, 18-19",2961,798,6,30,5,15
C Fitchburg Wds 16-17,915,384,2,7,0,3
C Fitchburg Wds 5-9,3542,943,5,44,7,7
C Madison Wd 001,1436,415,2,20,0,5
C Madison Wd 002,847,181,4,7,1,1
C Madison Wd 003,639,162,0,7,0,2
C Madison Wd 004,448,144,0,2,2,0
C Madison Wd 005,728,216,3,10,4,8
C Madison Wd 006,1373,326,3,8,1,4
C Madison Wd 007,820,256,2,8,0,1
C Madison Wd 008,1489,415,2,22,2,8
C Madison Wd 009,2348,593,2,37,5,7
C Madison Wd 010,1173,326,1,10,3,2
C Madison Wd 011,648,120,2,5,2,3
C Madison Wd 012,1391,325,2,23,6,7
C Madison Wd 013,450,86,1,13,1,5
C Madison Wd 014,445,66,0,8,1,1
C Madison Wd 015,942,134,0,4,1,7
C Madison Wd 016,2241,338,1,15,1,13
C Madison Wd 017,628,112,2,14,3,4
C Madison Wd 018,706,109,2,4,1,3
C Madison Wd 019,637,105,1,2,1,4
C Madison Wd 020,174,25,0,4,0,1
C Madison Wd 021,753,159,0,7,3,2
C Madison Wd 022,1124,291,1,16,4,5
C Madison Wd 023,885,255,3,19,1,3
C Madison Wd 024,875,307,2,20,0,7
C Madison Wd 025,1622,319,0,20,3,7
C Madison Wd 026,845,229,1,10,1,6
C Madison Wd 027,6,1,0,0,0,0
C Madison Wd 028,1042,117,0,18,2,4
C Madison Wd 029,2378,130,0,10,1,14
C Madison Wd 030,833,122,0,9,3,4
C Madison Wd 031,960,134,2,7,2,3
C Madison Wd 032,580,79,0,8,2,4
C Madison Wd 033,834,160,0,6,4,4
C Madison Wd 034,741,117,0,4,0,1
C Madison Wd 035,898,161,2,10,2,8
C Madison Wd 036,958,209,0,12,1,7
C Madison Wd 037,1203,237,1,11,5,6
C Madison Wd 038,2042,532,5,16,4,6
C Madison Wd 039,1658,105,3,9,4,13
C Madison Wd 040,2259,97,0,14,0,10
C Madison Wd 041,2758,107,0,13,2,14
C Madison Wd 042,2583,100,0,16,6,9
C Madison Wd 043,369,27,0,1,1,3
C Madison Wd 044,1652,101,1,15,1,7
C Madison Wd 045,3140,217,3,30,1,20
C Madison Wd 046,1826,127,1,25,2,5
C Madison Wd 047,1367,290,2,19,0,10
C Madison Wd 048,659,148,0,8,0,4
C Madison Wd 049,1968,423,1,24,0,11
C Madison Wd 050,1462,238,2,30,0,9
C Madison Wd 051,1165,154,0,14,1,7
C Madison Wd 052,734,74,0,8,0,4
C Madison Wd 053,2669,264,1,31,3,16
C Madison Wd 054,233,68,0,3,0,0
C Madison Wd 055,1346,270,0,22,4,7
C Madison Wd 056,655,195,0,14,0,2
C Madison Wd 057,750,156,1,13,1,2
C Madison Wd 058,341,58,0,5,1,1
C Madison Wd 059,365,77,0,5,2,3
C Madison Wd 060,436,54,1,3,2,2
C Madison Wd 061,1521,234,2,24,3,6
C Madison Wd 062,819,62,1,7,0,3
C Madison Wd 063,1623,117,0,17,3,7
C Madison Wd 064,1337,103,0,12,6,7
C Madison Wd 065,2394,162,0,18,1,5
C Madison Wd 066,1776,231,2,34,6,7
C Madison Wd 067,912,115,2,13,2,11
C Madison Wd 068,1044,82,2,12,3,8
C Madison Wd 069,1658,119,3,11,3,9
C Madison Wd 070,1020,206,4,13,4,2
C Madison Wd 071,1347,248,2,16,3,4
C Madison Wd 072,537,65,0,8,1,3
C Madison Wd 073,619,105,3,12,1,6
C Madison Wd 074,440,56,0,6,0,1
C Madison Wd 075,968,150,1,5,7,2
C Madison Wd 076,689,67,1,7,0,0
C Madison Wd 077,1397,326,2,15,7,7
C Madison Wd 078,2148,231,3,16,3,8
C Madison Wd 079,2416,272,3,15,11,6
C Madison Wd 080,151,22,0,4,0,0
C Madison Wd 081,1539,122,1,9,5,4
C Madison Wd 082,1267,97,1,6,2,2
C Madison Wd 083,1392,123,2,8,1,2
C Madison Wd 084,1556,246,0,16,7,6
C Madison Wd 085,1540,155,1,19,5,3
C Madison Wd 086,1862,242,0,17,3,5
C Madison Wd 087,1777,323,0,18,3,8
C Madison Wd 088,1575,374,0,13,7,7
C Madison Wd 089,1712,270,2,21,3,8
C Madison Wd 090,577,109,1,7,3,3
C Madison Wd 091,1180,222,2,8,1,4
C Madison Wd 092,1055,195,1,20,2,3
C Madison Wd 093,255,40,0,4,0,2
C Madison Wd 094,604,149,0,10,1,0
C Madison Wd 095,1418,273,1,19,3,6
C Madison Wd 096,1221,260,3,19,8,4
C Madison Wd 097,1862,419,5,36,7,6
C Madison Wd 098,2286,521,0,42,4,6
C Madison Wd 099,669,179,0,13,0,4
C Madison Wd 100,1531,299,2,30,1,9
C Madison Wd 101,420,83,0,9,2,0
C Madison Wd 102,998,217,2,9,0,6
C Madison Wd 103,433,63,0,11,1,2
C Madison Wd 104,1415,286,0,35,5,4
C Madison Wd 105,1829,394,2,23,6,8
C Madison Wd 106,2120,853,0,34,6,6
C Madison Wd 107,2090,614,2,39,6,9
C Madison Wd 108,1464,209,4,8,0,7
C Madison Wd 109,1531,339,1,16,5,7
C Madison Wd 110,1215,359,1,19,5,8
C Madison Wd 111,1813,626,0,26,1,11
C Madison Wd 112,0,0,0,0,0,0
C Madison Wd 113,0,0,0,0,0,0
C Madison Wd 114,1,0,0,0,0,0
C Madison Wd 115,0,0,0,0,0,0
C Madison Wd 116,0,0,0,0,0,0
C Madison Wd 117,0,0,0,0,0,0
C Madison Wd 118,0,0,0,0,0,0
C Madison Wd 119,6,0,0,0,0,0
C Madison Wd 120,0,0,0,0,0,0
C Madison Wd 121,5,0,0,0,0,0
C Madison Wd 122,78,20,0,1,0,0
C Madison Wd 123,0,0,0,0,0,0
C Madison Wd 124,97,40,0,0,0,1
C Madison Wd 125,13,9,0,0,0,0
C Madison Wd 126,85,20,0,1,0,0
C Madison Wd 127,77,13,0,0,0,2
C Madison Wd 128,1,2,0,0,0,0
C Madison Wd 129,3,2,0,0,0,0
C Madison Wd 130,0,0,0,0,0,0
C Madison Wd 131,4,0,0,0,0,0
C Madison Wd 132,4,0,0,0,0,0
C Madison Wd 133,1,1,0,0,0,0
C Madison Wd 134,16,3,0,0,0,0
C Madison Wd 135,1,3,0,0,0,0
C Madison Wd 136,1,1,0,0,0,0
C Madison Wd 137,0,0,0,0,0,0
C Madison Wd 138,0,0,0,0,0,0
C Madison Wd 139,0,0,0,0,0,0
C Madison Wd 140,37,8,0,1,0,0
C Madison Wd 141,1,0,0,0,0,0
C Madison Wd 142,3,0,0,0,0,0
C Madison Wd 143,0,0,0,0,0,0
C Madison Wd 144,0,0,0,0,0,0
C Madison Wd 145,0,0,0,0,0,0
C Madison Wd 146,0,0,0,0,0,0
C Madison Wd 147,0,0,0,0,0,0
C Madison Wd 148,0,0,0,0,0,0
C Madison Wd 149,0,0,0,0,0,0
C Madison Wd 150,0,0,0,0,0,0
C Madison Wd 151,0,0,0,0,0,0
C Madison Wd 152,1,0,0,0,0,0
C Madison Wd 154,0,0,0,0,0,0
C Middleton Wd 19,0,0,0,0,0,0
"C Middleton Wds 10-13, 22",3255,772,5,35,9,15
"C Middleton Wds 1-4, 9, 20",2888,759,6,45,7,11
"C Middleton Wds 14-18, 21",2408,702,3,42,4,17
C Middleton Wds 5-8,2448,463,4,42,2,17
C Monona Wds 1-5,2488,549,6,17,3,10
C Monona Wds 6-10,2310,567,1,33,0,5
C Stoughton Wd 16,0,0,0,0,0,0
C Stoughton Wd 9,30,21,0,0,0,0
"C Stoughton Wds 10-11, 13-14",0,0,0,0,0,0
C Stoughton Wds 1-2,1328,634,2,32,0,6
"C Stoughton Wds 3-4, 12",1356,567,1,19,5,2
C Stoughton Wds 5-6,1508,579,2,37,5,6
"C Stoughton Wds 7-8, 15",1405,632,4,22,4,5
"C Sun Prairie Wds 1-19, 26",13982,5758,44,250,39,60
"C Sun Prairie Wds 20-22, 24-25",175,77,1,2,0,1
"C Sun Prairie Wds 23, 27",0,0,0,0,0,0
"C Verona Wds 1, 5",980,381,3,11,5,3
C Verona Wds 2-4,1797,602,4,44,2,6
C Verona Wds 6-9,3690,1249,9,53,10,16
T Albion Wds 1-2,662,593,2,16,3,4
T Berry Wds 1-2,466,357,1,8,1,6
T Black Earth Wd 1,204,166,0,1,0,2
T Blooming Grove Wds 1-3,789,263,3,11,1,3
T Blue Mounds Wd 1,396,238,3,9,0,1
T Bristol Wds 1-4,1478,1308,7,33,3,10
T Burke Wds 1-4,1297,808,4,16,0,3
T Christiana Wds 1-2,414,376,0,7,4,1
"T Cottage Grove Wds 1-2, 4-5,",1010,685,3,5,3,7
"T Cottage Grove Wds 3, 6",637,332,0,10,1,2
T Cross Plains Wds 1-2,643,442,0,13,1,3
T Cross Plains Wds 3-4,0,0,0,0,0,0
T Dane Wd 1,244,333,2,9,2,1
T Deerfield Wds 1-2,565,451,2,15,3,6
"T Dunkirk Wds 1, 3, 5",524,339,1,8,0,0
"T Dunkirk Wds 2, 4, 6",258,206,0,8,0,2
T Dunn Wds 1-7,2289,1264,1,45,5,14
T Madison Wds 1-9,2359,309,4,32,4,18
T Mazomanie Wds 1-2,394,340,3,6,2,0
