Row,Ward,Registered Voters - Total,Ballots Cast - Total
1,City of Milwaukee Ward 1,1502,1185
2,City of Milwaukee Ward 2,524,358
3,City of Milwaukee Ward 3,1119,879
4,City of Milwaukee Ward 4,1907,1473
5,City of Milwaukee Ward 5,974,777
6,City of Milwaukee Ward 6,2157,1777
7,City of Milwaukee Ward 7,745,562
8,City of Milwaukee Ward 8,1765,1484
9,City of Milwaukee Ward 9,876,752
10,City of Milwaukee Ward 10,1447,1176
11,City of Milwaukee Ward 11,1298,1030
12,City of Milwaukee Ward 12,1126,811
13,City of Milwaukee Ward 13,699,517
14,City of Milwaukee Ward 14,1341,1012
15,City of Milwaukee Ward 15,878,768
16,City of Milwaukee Ward 16,1768,1384
17,City of Milwaukee Ward 17,735,615
18,City of Milwaukee Ward 18,1079,873
19,City of Milwaukee Ward 19,891,660
20,City of Milwaukee Ward 20,1122,901
21,City of Milwaukee Ward 21,1081,809
22,City of Milwaukee Ward 22,991,707
23,City of Milwaukee Ward 23,450,303
24,City of Milwaukee Ward 24,609,352
25,City of Milwaukee Ward 25,1004,695
26,City of Milwaukee Ward 26,886,703
27,City of Milwaukee Ward 27,800,625
28,City of Milwaukee Ward 28,353,236
29,City of Milwaukee Ward 29,460,338
30,City of Milwaukee Ward 30,950,659
31,City of Milwaukee Ward 31,866,665
32,City of Milwaukee Ward 32,1857,1482
33,City of Milwaukee Ward 33,2395,2043
34,City of Milwaukee Ward 34,1426,1145
35,City of Milwaukee Ward 35,1071,869
36,City of Milwaukee Ward 36,978,796
37,City of Milwaukee Ward 37,965,657
38,City of Milwaukee Ward 38,749,538
39,City of Milwaukee Ward 39,885,682
40,City of Milwaukee Ward 40,861,635
41,City of Milwaukee Ward 41,860,627
42,City of Milwaukee Ward 42,1145,890
43,City of Milwaukee Ward 43,446,254
44,City of Milwaukee Ward 44,1152,902
45,City of Milwaukee Ward 45,1185,871
46,City of Milwaukee Ward 46,665,489
47,City of Milwaukee Ward 47,1135,849
48,City of Milwaukee Ward 48,553,423
49,City of Milwaukee Ward 49,776,568
50,City of Milwaukee Ward 50,719,526
51,City of Milwaukee Ward 51,703,506
52,City of Milwaukee Ward 52,1049,700
53,City of Milwaukee Ward 53,475,387
54,City of Milwaukee Ward 54,608,432
55,City of Milwaukee Ward 55,1312,1041
56,City of Milwaukee Ward 56,823,650
57,City of Milwaukee Ward 57,1072,824
58,City of Milwaukee Ward 58,788,640
59,City of Milwaukee Ward 59,1550,1172
60,City of Milwaukee Ward 60,1071,765
61,City of Milwaukee Ward 61,943,674
62,City of Milwaukee Ward 62,782,544
63,City of Milwaukee Ward 63,740,537
64,City of Milwaukee Ward 64,1600,1203
65,City of Milwaukee Ward 65,1233,981
66,City of Milwaukee Ward 66,775,568
67,City of Milwaukee Ward 67,707,525
68,City of Milwaukee Ward 68,1299,978
69,City of Milwaukee Ward 69,1033,800
70,City of Milwaukee Ward 70,1466,1147
71,City of Milwaukee Ward 71,838,671
72,City of Milwaukee Ward 72,1125,923
73,City of Milwaukee Ward 73,1245,980
74,City of Milwaukee Ward 74,785,665
75,City of Milwaukee Ward 75,855,688
76,City of Milwaukee Ward 76,851,664
77,City of Milwaukee Ward 77,761,621
78,City of Milwaukee Ward 78,1321,1044
79,City of Milwaukee Ward 79,1350,1111
80,City of Milwaukee Ward 80,1790,1478
81,City of Milwaukee Ward 81,740,636
82,City of Milwaukee Ward 82,945,845
83,City of Milwaukee Ward 83,1157,1011
84,City of Milwaukee Ward 84,826,711
