Row,Roger Polack,Bryan Steil,WRITE-IN,
342,City of Franklin Ward 1,0,1,0
343,City of Franklin Ward 2,531,966,1
344,City of Franklin Ward 3,631,918,0
345,City of Franklin Ward 4,272,503,1
346,City of Franklin Ward 5,257,386,0
347,City of Franklin Ward 6,411,641,0
348,City of Franklin Ward 7,553,845,0
349,City of Franklin Ward 8,489,463,1
350,City of Franklin Ward 9,460,501,2
351,City of Franklin Ward 10,192,235,0
352,City of Franklin Ward 11,469,705,0
353,City of Franklin Ward 12,298,533,0
354,City of Franklin Ward 13,477,691,1
355,City of Franklin Ward 14,411,591,1
356,City of Franklin Ward 15A,179,344,0
357,City of Franklin Ward 15B,155,219,0
358,City of Franklin Ward 16,449,768,0
359,City of Franklin Ward 17,356,386,1
360,City of Franklin Ward 18,184,274,0
361,City of Franklin Ward 19,470,770,0
362,City of Franklin Ward 20,301,351,1
363,City of Franklin Ward 21,161,137,0
364,City of Franklin Ward 22A,274,424,0
365,City of Franklin Ward 22B,248,408,0
366,City of Franklin Ward 23,418,828,0
375,"V. Greendale Wards 1,2",710,1019,2
376,"V. Greendale Wards 3,4",940,1005,2
377,"V. Greendale Wards 5,6",797,941,1
378,"V. Greendale Wards 7,8",804,914,1
379,"V. Greendale Wards 9,10",953,1116,2
401,"V. Hales Corners Wards 1,2,3 ",643,944,1
402,"V. Hales Corners Wards 4,5,6 ",658,912,0
403,"V. Hales Corners Wards 7,8,9 ",682,831,2
404,"C. Oak Creek Wards 1,2,3",1516,1901,0
405,"C. Oak Creek Wards 4,5,6",1594,1774,1
406,"C. Oak Creek Wards 7,8,9",1431,1910,2
407,"C. Oak Creek Wards 10,11,12",1420,2251,3
408,"C. Oak Creek Wards 13,14,15",1340,2222,1
409,"C. Oak Creek Wards 16,17,18,19",1432,1404,2
