Row,Ward,Gwen S. Moore,Tim Rogers,Robert R. Raymond,WRITE-IN
1,City of Milwaukee Ward 1,956,180,22,1
2,City of Milwaukee Ward 2,320,25,6,0
3,City of Milwaukee Ward 3,695,130,20,0
4,City of Milwaukee Ward 4,1238,175,21,1
5,City of Milwaukee Ward 5,655,94,19,1
6,City of Milwaukee Ward 6,1378,321,46,0
7,City of Milwaukee Ward 7,394,148,10,0
8,City of Milwaukee Ward 8,1119,312,33,2
9,City of Milwaukee Ward 9,631,99,9,1
10,City of Milwaukee Ward 10,846,265,28,4
11,City of Milwaukee Ward 11,841,151,19,0
12,City of Milwaukee Ward 12,660,117,19,1
13,City of Milwaukee Ward 13,395,105,7,0
14,City of Milwaukee Ward 14,937,53,6,2
15,City of Milwaukee Ward 15,523,214,17,0
16,City of Milwaukee Ward 16,1186,134,40,2
17,City of Milwaukee Ward 17,471,113,24,0
18,City of Milwaukee Ward 18,732,121,8,0
19,City of Milwaukee Ward 19,545,83,15,1
20,City of Milwaukee Ward 20,799,79,13,0
21,City of Milwaukee Ward 21,731,52,10,1
22,City of Milwaukee Ward 22,603,84,8,0
23,City of Milwaukee Ward 23,255,29,12,0
24,City of Milwaukee Ward 24,311,22,7,0
25,City of Milwaukee Ward 25,599,70,10,0
26,City of Milwaukee Ward 26,605,58,18,1
27,City of Milwaukee Ward 27,513,84,12,0
28,City of Milwaukee Ward 28,200,23,3,0
29,City of Milwaukee Ward 29,295,36,3,0
30,City of Milwaukee Ward 30,547,73,15,2
31,City of Milwaukee Ward 31,577,70,10,1
32,City of Milwaukee Ward 32,1222,195,30,4
33,City of Milwaukee Ward 33,1295,664,48,0
34,City of Milwaukee Ward 34,830,257,42,0
35,City of Milwaukee Ward 35,584,230,27,1
36,City of Milwaukee Ward 36,680,85,16,2
37,City of Milwaukee Ward 37,570,63,10,0
38,City of Milwaukee Ward 38,485,42,4,0
39,City of Milwaukee Ward 39,559,97,15,0
40,City of Milwaukee Ward 40,574,40,14,0
41,City of Milwaukee Ward 41,561,41,10,0
42,City of Milwaukee Ward 42,809,54,13,1
43,City of Milwaukee Ward 43,233,10,4,0
44,City of Milwaukee Ward 44,808,64,12,1
45,City of Milwaukee Ward 45,766,70,14,0
46,City of Milwaukee Ward 46,448,33,4,0
47,City of Milwaukee Ward 47,779,45,13,1
48,City of Milwaukee Ward 48,370,34,10,1
49,City of Milwaukee Ward 49,517,31,10,1
50,City of Milwaukee Ward 50,469,38,7,0
51,City of Milwaukee Ward 51,468,12,10,2
52,City of Milwaukee Ward 52,637,45,6,1
53,City of Milwaukee Ward 53,345,27,7,0
54,City of Milwaukee Ward 54,415,9,3,0
55,City of Milwaukee Ward 55,837,164,25,0
56,City of Milwaukee Ward 56,617,18,7,0
57,City of Milwaukee Ward 57,776,21,10,1
